VehicleValue,Freq_Act
6196.98239,0
4833.780057,0
4860.288595,0
3724.432945,0
13137.79874,0
8588.846391,0
3627.393913,0
5108.961516,1
4974.718752,0
7729.961752,0
14284.2338,0
7784.255841,0
2396.673688,0
11233.34998,0
19513.43214,0
6028.33342,0
15170.79435,0
13347.24604,1
9491.157354,0
9963.613586,0
6568.208421,0
90,0
6417.061694,0
72.9,0
4706.680268,0
6949.077016,0
6718.098201,0
8337.256277,0
2062.164597,0
3171.438051,0
4969.470509,0
15648.00838,0
81,0
8075.021577,0
16428.92593,0
5818.973341,0
20872.97754,0
2451.898851,0
90,0
23196.70733,0
10287.97444,0
90,0
2399.088314,0
5287.675048,0
13840.44531,0
3558.857192,0
5143.280281,0
4532.459116,0
3653.729454,0
22996.74752,0
6715.143347,0
3119.488305,0
833.616284,0
4265.522954,0
19858.22457,0
4739.469949,0
5875.194498,0
8054.430224,0
7315.718135,0
9458.857203,0
100,0
2694.168155,0
7660.127113,0
6051.947936,1
706.1358308,0
9490.452526,0
90,0
2110.484117,0
3070.684366,0
18604.48809,0
3048.983898,0
7285.639947,0
30105.08272,0
9862.862688,1
4434.23988,0
3319.485345,0
100,0
18054.28853,0
100,0
6228.740169,0
2328.644156,0
2728.361169,0
18604.48809,0
100,0
6529.87044,0
11936.40205,0
2331.607396,0
90,0
9395.315104,0
6959.828578,0
100,0
6100.303427,0
5632.528171,0
3854.587314,0
100,0
9767.619448,0
4930.400365,0
7587.417298,0
17451.81954,0
100,0
4007.651988,0
3678.240468,0
90,0
6519.605648,0
4366.149893,0
8802.366976,0
4950.837515,0
6417.916538,0
12058.78944,0
10473.16246,0
8968.229258,0
4955.350623,0
100,0
5500.930572,0
90,0
100,0
100,0
5757.9529,0
4587.468902,0
90,0
7102.574346,0
7978.970681,0
6881.647347,0
10533.75455,0
7978.970681,0
14672.42265,0
2923.131306,0
1746.882348,0
14488.73806,0
20126.78005,0
3608.804082,0
4983.06327,0
10186.19787,0
5981.019709,0
6342.556075,0
4574.631704,0
10321.74921,0
1341.873085,0
13181.14815,0
16763.22205,0
15774.03058,0
13353.53417,0
6720.994765,0
7220.356265,0
7980.242279,0
9289.574289,0
6837.985237,0
4637.780879,0
5251.410095,0
7761.995005,0
4767.870797,0
100,0
10321.74921,0
9742.058947,0
3125.13944,0
90,0
9096.166173,0
11970.85745,0
7864.132142,0
5272.939237,0
100,0
9235.463217,0
5350.760025,0
21639.80111,0
12369.90259,0
21639.80111,0
23835.18146,0
4224.478006,0
5384.955756,0
81,0
5189.703614,0
6900.708656,0
19694.28715,0
10187.32976,0
5299.02499,0
8594.915238,0
6857.009171,0
81,0
6614.971029,0
19817.75333,0
16951.82841,0
6186.667295,0
7118.934998,0
2380.215756,0
5303.132999,0
12080.81861,0
13314.98718,0
100,0
6956.247605,0
4852.689453,0
4614.057244,0
4368.183476,0
7961.847531,0
4786.865122,0
5391.87717,0
90,0
14504.17163,0
4148.060133,0
6575.091837,0
2942.868869,0
3583.282589,0
4919.510585,0
179.9456004,0
10248.51237,0
654.4770734,0
90,0
9333.408868,0
7477.138965,0
3583.282589,0
90,0
8812.934211,0
2801.770482,0
8029.783979,0
5059.548634,0
2432.648324,0
6021.077706,0
6870.297675,0
8245.4418,0
5545.769693,0
90,0
2715.697382,1
6370.584471,0
15129.65293,0
7794.093706,0
81,0
8237.461017,0
7633.664084,0
305.5940243,0
81,0
8148.705309,0
9609.968314,0
13882.44183,0
12594.33678,0
7015.802889,0
3376.600987,0
7502.671384,1
7539.233146,0
100,0
100,0
5453.580857,0
13966.10043,1
7321.952903,0
5459.465217,0
1831.464653,0
872.0321417,0
65.61,0
3516.078847,0
5076.46145,0
6407.403195,0
11521.83389,0
3738.791162,0
4641.96502,1
3529.790486,0
5414.551588,0
5135.799494,1
5640.512722,0
3759.991666,0
1992.251409,0
7052.477991,0
6110.956613,0
9432.4187,0
90,0
12234.56957,0
6533.582152,0
5928.180039,0
7259.535724,0
8136.40189,0
90,0
90,0
3637.998043,0
3018.730428,0
5395.053507,0
7388.698463,0
6836.244875,0
81,0
8511.484646,0
9020.290807,0
7388.698463,0
100,0
65.61,0
16876.38295,0
100,0
2117.076813,0
100,0
9146.255136,0
81,0
13424.87149,0
5096.255396,0
2465.392431,0
4124.484908,0
90,0
9268.632995,0
52526.76265,0
8878.186352,0
5971.039476,0
7027.341587,0
90,0
6634.488307,0
4592.1684,0
9600.418558,0
162.0570257,1
7009.236084,0
3657.268732,0
13546.36886,0
81,0
5927.178453,0
3890.680543,0
6219.947925,0
3741.529737,0
8511.010117,0
9782.113067,0
6668.241315,1
6059.952766,0
18457.58371,1
7498.044961,0
3019.206745,0
5695.118859,0
12307.13706,0
12964.43457,0
4631.724576,0
25754.40535,0
5081.834745,0
100,0
6790.988384,0
24340.29885,0
5509.70063,0
13442.13756,0
10265.17024,1
7609.970595,0
523.2053733,0
8110.290478,0
6400.225997,0
100,0
9703.573,0
3122.890346,0
90,0
1472.514701,0
8917.775459,0
21448.16711,0
949.8965052,0
5497.61717,0
10527.2061,0
1962.906824,0
8267.102484,0
10885.63909,0
7704.66492,0
81,0
100,0
4507.023897,0
4813.723291,0
8393.386083,0
90,0
1314.822532,0
12992.68078,1
7553.888125,0
5561.79283,0
11067.0592,0
2693.015812,0
6928.770906,0
6828.33332,0
1540.038647,0
100,0
5746.870229,0
2376.465368,0
6393.368971,0
5956.943763,0
3577.701491,0
4550.975355,0
6113.944429,0
7301.912596,0
21913.63121,0
14055.62213,0
4561.841888,0
3677.401869,0
11811.13647,0
10016.34101,1
11741.51755,0
6406.063755,0
7336.001817,0
12710.39331,0
10031.92459,0
5604.94112,0
13123.48497,0
13767.87206,0
3331.356863,0
9423.653844,0
5715.208857,0
81,0
5317.062191,0
6970.0345,0
580.1861572,0
7875.668152,0
2466.668808,0
2941.260315,0
6774.28861,0
12029.03966,0
8146.604343,0
10058.68853,0
3456.36119,0
3549.156062,0
6286.018252,0
7827.749018,1
90,0
3191.210127,0
10058.68853,0
81,0
8610.997555,0
100,0
3597.679377,0
6338.642412,0
17750.14464,0
305.5119077,0
6290.464792,0
6912.550624,0
7416.21127,0
8450.044865,0
90,0
4070.475319,0
90,0
9801.226245,0
9738.011729,0
12407.63455,0
12065.56504,0
2477.44685,0
100,0
8821.254364,0
3366.50904,0
6419.366634,0
12836.30437,0
1931.175873,0
11379.47008,0
17794.66662,0
5536.609085,0
90,0
6277.441467,0
8818.489298,0
